,movie_ID,IMDb_ID,title,genre,year
0,1,114709,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995
1,2,113497,Jumanji,Adventure|Children|Fantasy,1995
2,3,113228,Grumpier Old Men,Comedy|Romance,1995
3,4,114885,Waiting to Exhale,Comedy|Drama|Romance,1995
4,5,113041,Father of the Bride Part II,Comedy,1995
5,6,113277,Heat,Action|Crime|Thriller,1995
6,7,114319,Sabrina,Comedy|Romance,1995
7,8,112302,Tom and Huck,Adventure|Children,1995
8,9,114576,Sudden Death,Action,1995
9,10,113189,GoldenEye,Action|Adventure|Thriller,1995
10,11,112346,"American President, The",Comedy|Drama|Romance,1995
11,12,112896,Dracula: Dead and Loving It,Comedy|Horror,1995
12,13,112453,Balto,Adventure|Animation|Children,1995
13,14,113987,Nixon,Drama,1995
14,15,112760,Cutthroat Island,Action|Adventure|Romance,1995
15,16,112641,Casino,Crime|Drama,1995
16,17,114388,Sense and Sensibility,Drama|Romance,1995
17,18,113101,Four Rooms,Comedy,1995
18,19,112281,Ace Ventura: When Nature Calls,Comedy,1995
19,20,113845,Money Train,Action|Comedy|Crime|Drama|Thriller,1995
20,21,113161,Get Shorty,Comedy|Crime|Thriller,1995
21,22,112722,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995
22,23,112401,Assassins,Action|Crime|Thriller,1995
23,24,114168,Powder,Drama|Sci-Fi,1995
24,25,113627,Leaving Las Vegas,Drama|Romance,1995
25,26,114057,Othello,Drama,1995
26,27,114011,Now and Then,Children|Drama,1995
27,28,114117,Persuasion,Drama|Romance,1995
28,29,112682,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995
29,30,115012,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995
30,31,112792,Dangerous Minds,Drama,1995
31,32,114746,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995
